Time,DataRate_Mbps
8.76061,82.098
8.76109,75.9407
8.76153,82.098
8.76205,70.6426
8.76252,77.3918
8.76297,80.4669
8.76337,91.357
8.76382,80.4669
8.76416,71.8685
8.76465,74.5431
8.76507,87.4136
8.76553,78.8994
8.76604,71.8966
8.76654,71.8966
8.76698,83.7965
8.76747,74.5431
8.7679,83.7965
8.76837,77.3918
8.76883,80.4669
8.76927,82.098
8.76975,75.9407
8.77027,69.4316
8.77072,82.098
8.77134,77.6542
8.77174,91.357
8.77224,73.1959
8.77271,77.3918
8.77317,80.4669
8.77357,89.3418
8.77407,73.1959
8.7745,85.5669
8.77482,75.9111
8.77535,68.2614
8.77576,89.3418
8.77619,83.7965
8.77655,68.2348
8.77707,70.6426
8.77753,78.8994
8.778,77.3918
8.77843,85.5669
8.77891,74.5431
8.77939,77.3918
8.77988,73.1959
8.78046,83.6687
8.78096,73.1959
8.78144,75.9407
8.78189,82.098
8.78235,78.8994
8.78277,85.5669
8.78329,70.6426
8.78389,81.1544
8.78432,85.5669
8.78477,80.4669
8.78526,74.5431
8.78568,85.5669
8.78613,82.098
8.78663,73.1959
8.78715,69.4316
8.78761,78.8994
8.78802,89.3418
8.78843,89.3418
8.78894,71.8966
8.78947,68.2614
8.78987,91.357
8.79038,71.8966
8.79078,89.3418
8.79121,85.5669
8.79168,77.3918
8.79203,70.0046
8.79234,78.1078
8.79287,68.2614
8.7933,85.5669
8.79372,85.5669
8.79423,71.8966
8.79472,74.5431
8.79512,91.357
8.79555,83.7965
8.79607,70.6426
8.7965,85.5669
8.79698,75.9407
8.79747,74.5431
8.79792,80.4669
8.7984,75.9407
8.79882,85.5669
8.7993,77.3918
8.7998,71.8966
8.8003,73.1959
8.80076,78.8994
8.80136,81.1544
8.80177,89.3418
8.8022,83.7965
8.80252,75.9111
8.803,77.3918
8.80348,75.9407
8.80379,78.1078
8.8043,70.6426
8.80475,82.098
8.80516,87.4136
8.80547,78.1078
8.80593,80.4669
8.80635,85.5669
8.80687,70.6426
8.80734,77.3918
8.8078,78.8994
8.80824,83.7965
8.80869,80.4669
8.80918,74.5431
8.80962,82.098
8.81014,70.6426
8.81056,87.4136
8.81105,74.5431
8.81147,85.5669
8.81196,74.5431
8.81242,78.8994
8.81296,68.2614
8.81342,78.8994
8.81393,71.8966
8.81435,85.5669
8.81485,73.1959
8.81548,77.6542
8.81592,82.098
8.81635,85.5669
8.81686,70.6426
8.81746,81.1544
8.81809,77.6542
8.81857,75.9407
8.81917,81.1544
8.81961,82.098
8.82011,73.1959
8.8207,82.3924
8.82132,78.7869
8.82194,77.6542
8.82238,83.7965
8.82278,91.357
8.8231,75.9111
8.82359,73.1959
8.82412,69.4316
8.82471,82.3924
8.82511,91.357
8.8256,74.5431
8.82604,82.098
8.82637,73.8345
8.82685,75.9407
8.82733,75.9407
8.82785,70.6426
8.82827,85.5669
8.82874,77.3918
8.82916,87.4136
8.82964,75.9407
8.83004,91.357
8.83039,70.0046
8.8307,78.1078
8.83111,87.4136
8.83159,75.9407
8.83203,83.7965
8.83254,70.6426
8.833,80.4669
8.83332,75.9111
8.83363,78.1078
8.83414,71.8966
8.8346,78.8994
8.8351,73.1959
8.83551,87.4136
8.83605,68.2614
8.83651,78.8994
8.83692,89.3418
8.83741,73.1959
8.83801,81.1544
8.83846,82.098
8.83898,69.4316
8.83939,89.3418
8.83981,87.4136
8.84025,82.098
8.84056,78.1078
8.84102,78.8994
8.84154,70.6426
8.84206,70.6426
8.84267,78.7869
8.84307,91.357
8.84354,77.3918
8.84406,70.6426
8.84447,89.3418
8.84493,78.8994
8.84533,91.357
8.84581,75.9407
8.84632,70.6426
8.84676,83.7965
8.84729,68.2614
8.84769,91.357
8.848,78.1078
8.84844,83.7965
8.8489,78.8994
8.84938,75.9407
8.84987,74.5431
8.85032,80.4669
8.85086,68.2614
8.85127,87.4136
8.85168,89.3418
8.85218,73.1959
8.85261,83.7965
8.85309,77.3918
8.85343,70.0046
8.85384,89.3418
8.85421,66.5523
8.85466,80.4669
8.85508,87.4136
8.85554,78.8994
8.85585,78.1078
8.85617,75.9111
8.85652,68.2348
8.85701,74.5431
8.85747,80.4669
8.85794,77.3918
8.85835,89.3418
8.85869,70.0046
8.85918,74.5431
8.85962,83.7965
8.86002,89.3418
8.86035,73.8345
8.86088,69.4316
8.8613,87.4136
8.86178,75.9407
8.86231,68.2614
8.86294,77.6542
8.86336,85.5669
8.8638,83.7965
8.8642,89.3418
8.86471,71.8966
8.86516,82.098
8.86547,78.1078
8.86592,80.4669
8.86637,80.4669
8.86683,78.8994
8.86736,69.4316
8.86776,91.357
8.86829,68.2614
8.86881,70.6426
8.86924,83.7965
8.86966,87.4136
8.87016,73.1959
8.87068,69.4316
8.8713,78.7869
8.87192,78.7869
8.87254,77.6542
8.87301,78.8994
8.8736,81.1544
8.87407,78.8994
8.87449,85.5669
8.87493,83.7965
8.87541,75.9407
8.87591,71.8966
8.87653,78.7869
8.87703,73.1959
8.87749,78.8994
8.87805,86.3437
8.87845,91.357
8.87899,68.2614
8.87939,91.357
8.87989,71.8966
8.8803,89.3418
8.88078,75.9407
8.88122,83.7965
8.88173,70.6426
8.88214,89.3418
8.88266,70.6426
8.88314,75.9407
8.88363,74.5431
8.88411,74.5431
8.88453,87.4136
8.88505,70.6426
8.88549,82.098
8.88612,77.6542
8.88655,83.7965
8.88708,69.4316
8.88749,89.3418
8.88794,80.4669
8.88838,82.098
8.88869,78.1078
8.8892,71.8966
8.88963,85.5669
8.8901,77.3918
8.89058,75.9407
8.89103,80.4669
8.89146,85.5669
8.89195,74.5431
8.89235,89.3418
8.89287,70.6426
8.89318,78.1078
8.89366,75.9407
8.89408,87.4136
8.89455,77.3918
8.89505,73.1959
8.89552,77.3918
8.89601,74.5431
8.89643,85.5669
8.89696,69.4316
8.89758,77.6542
8.89821,77.6542
8.89868,77.3918
8.8993,78.7869
8.89973,83.7965
8.90034,79.9532
8.90078,83.7965
8.90119,87.4136
8.90171,70.6426
8.9022,74.5431
8.90267,77.3918
8.9033,77.6542
8.9037,89.3418
8.90417,77.3918
8.90457,91.357
8.90491,71.8685
8.90542,71.8966
8.90586,82.098
8.90635,74.5431
8.90683,75.9407
8.90746,77.6542
8.90787,89.3418
8.90837,71.8966
8.90884,77.3918
8.90929,82.098
8.90971,85.5669
8.91025,68.2614
8.91067,85.5669
8.91117,73.1959
8.91161,83.7965
8.91201,89.3418
8.91255,68.2614
8.91297,87.4136
8.91345,75.9407
8.91393,74.5431
8.91434,89.3418
8.91486,70.6426
8.91537,71.8966
8.91581,82.098
8.9163,74.5431
8.91689,82.3924
8.9174,71.8966
8.91797,84.9851
8.91847,71.8966
8.91888,89.3418
8.91932,83.7965
8.91977,80.4669
8.92009,75.9111
8.92053,82.098
8.92103,73.1959
8.92148,82.098
8.92191,83.7965
8.92222,78.1078
8.92273,71.8966
8.92314,89.3418
8.92363,74.5431
8.92395,75.9111
8.92441,78.8994
8.92483,85.5669
8.92515,75.9111
8.92561,80.4669
8.9261,74.5431
8.92655,80.4669
8.92689,71.8685
8.9272,78.1078
8.92767,77.3918
8.92818,71.8966
8.92866,75.9407
8.92928,77.6542
8.9297,87.4136
8.93014,82.098
8.93057,85.5669
8.93088,78.1078
8.9314,70.6426
8.93192,69.4316
8.93237,82.098
8.9328,83.7965
8.93323,85.5669
8.93369,78.8994
8.93414,80.4669
8.93458,83.7965
8.93509,70.6426
8.9356,71.8966
8.93608,75.9407
8.93669,79.9532
8.93711,85.5669
8.93759,75.9407
8.93809,73.1959
8.93858,74.5431
8.93919,79.9532
8.93959,91.357
8.94001,85.5669
8.94033,75.9111
8.94082,74.5431
8.94131,74.5431
8.94171,91.357
